DECADE,NAME,GP,ALLSTAR,MPG,PPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF,PLUS.MINUS
2010s,Chris Bosh,454,7,34.5,18.9,7.9,1.9,0.8,0.9,1.9,7,14.1,50,0.6,1.7,34.4,4.3,5.3,80.3,"15,647","8,592","3,575",846,376,400,850,"1,000",1846
2010s,Kobe Bryant,398,7,35.4,24.7,5.1,4.8,1.3,0.2,3.2,8.7,20.2,43.1,1.6,5.1,30.9,5.7,6.9,82.9,"14,106","9,823","2,028","1,905",503,96,"1,258",826,267
2010s,James Harden,765,7,34.1,24.3,5.2,6.2,1.6,0.5,3.6,7.2,16.2,44.3,2.6,7.3,36.5,7.3,8.5,85.7,"26,106","18,627","4,000","4,743","1,189",383,"2,770","1,977",3136
2010s,Chris Paul,650,7,34.1,18.1,4.4,9.6,2.1,0.2,2.4,6.3,13.5,46.9,1.6,4.1,37.7,3.9,4.4,88,"22,181","11,770","2,829","6,215","1,396",99,"1,528","1,573",4212
2010s,Anthony Davis,466,6,34.6,23.7,10.5,2.1,1.4,2.4,1.9,8.9,17.2,51.7,0.4,1.2,31.4,5.5,6.9,79.5,"16,109","11,059","4,906",982,639,"1,121",869,"1,106",280
2010s,Kyrie Irving,508,6,33.8,22.2,3.6,5.7,1.3,0.3,2.6,8.2,17.6,46.5,2.1,5.4,39,3.8,4.4,87.5,"17,169","11,294","1,852","2,885",672,177,"1,342","1,118",996
2010s,Paul George,604,6,33.8,19.8,6.4,3.3,1.8,0.4,2.6,6.7,15.5,43.3,2.4,6.3,37.8,4,4.8,84.4,"20,424","11,983","3,891","2,000","1,071",267,"1,558","1,637",2067
2010s,Blake Griffin,604,6,35,21.9,9,4.5,0.9,0.5,2.6,8.2,16.4,50.2,0.6,1.8,34.2,4.8,6.9,69.2,"21,159","13,200","5,417","2,690",547,314,"1,577","1,750",2451
2010s,Stephen Curry,694,6,34.4,23.5,4.5,6.6,1.7,0.2,3.1,8.1,17.1,47.7,3.6,8.2,43.6,3.7,4,90.5,"23,860","16,315","3,132","4,588","1,200",154,"2,163","1,721",4715
2010s,Dirk Nowitzki,683,6,30.3,18.3,6.3,2.1,0.6,0.6,1.3,6.6,14.2,46.8,1.3,3.4,38.3,3.6,4.1,89.3,"20,676","12,476","4,307","1,404",434,424,876,"1,423",1893
2010s,Klay Thompson,615,5,33.1,19.5,3.5,2.3,0.9,0.5,1.7,7.3,16,45.9,2.9,7,41.9,1.9,2.3,84.8,"20,338","11,995","2,130","1,416",561,332,"1,053","1,313",3676
2010s,John Wall,573,5,35.9,19,4.3,9.2,1.7,0.7,3.8,6.9,15.9,43.3,0.9,2.9,32.4,4.3,5.5,78.1,"20,545","10,879","2,483","5,282",976,396,"2,191","1,289",147
2010s,Al Horford,638,5,32.9,14.9,8.1,3.5,0.8,1.2,1.6,6.3,12,52.8,0.6,1.5,37,1.7,2.2,76.2,"21,003","9,498","5,188","2,261",523,776,"1,024","1,344",2130
2010s,Dwight Howard,637,5,33.5,17.4,12.7,1.5,1,1.9,2.9,6.4,10.7,59.2,0,0.1,9.8,4.7,8.6,54.5,"21,361","11,079","8,077",955,623,"1,237","1,857","2,077",1933
